channel,mean,var,scale
ax_hand,2.691571157161188,12.60980037113089,3.5510280724222514
ay_hand,8.60444744116246,4.5765944639453755,2.1392976566960886
az_hand,6.04717368898648,5.657508540465487,2.378551773761817
gx_hand,0.18748252687506345,573.8906347342186,23.95601458369523
gy_hand,-0.6210685630771872,1838.478938198695,42.87748754531561
gz_hand,-1.2722672700367552,807.5773451685575,28.41790536208743
ax_wrist,2.691571157161188,12.60980037113089,3.5510280724222514
ay_wrist,8.60444744116246,4.5765944639453755,2.1392976566960886
az_wrist,6.04717368898648,5.657508540465487,2.378551773761817
gx_wrist,0.18748252687506345,573.8906347342186,23.95601458369523
gy_wrist,-0.6210685630771872,1838.478938198695,42.87748754531561
gz_wrist,-1.2722672700367552,807.5773451685575,28.41790536208743
ax_arm,2.691571157161188,12.60980037113089,3.5510280724222514
ay_arm,8.60444744116246,4.5765944639453755,2.1392976566960886
az_arm,6.04717368898648,5.657508540465487,2.378551773761817
gx_arm,0.18748252687506345,573.8906347342186,23.95601458369523
gy_arm,-0.6210685630771872,1838.478938198695,42.87748754531561
gz_arm,-1.2722672700367552,807.5773451685575,28.41790536208743
